country,year,age_years,stunting_prevalence,diarrhea_prevalence,anemia_prevalence
ETH,2015,0,0.11583,0.132919148,0.446251959
ETH,2015,1,0.43532,0.129970874,0.446251959
ETH,2015,2,0.55115,0.083059259,0.446251959
ETH,2015,3,0.52702,0.083059259,0.446251959
ETH,2015,4,0.47393,0.083059259,0.446251959
ETH,2016,0,0.11248,0.128199886,0.432496548
ETH,2016,1,0.42273,0.125356289,0.432496548
ETH,2016,2,0.53521,0.080110254,0.432496548
ETH,2016,3,0.51178,0.080110254,0.432496548
ETH,2016,4,0.46023,0.080110254,0.432496548
ETH,2017,0,0.10913,0.123480619,0.418741137
ETH,2017,1,0.41015,0.120741704,0.418741137
ETH,2017,2,0.51928,0.077161255,0.418741137
ETH,2017,3,0.49654,0.077161255,0.418741137
ETH,2017,4,0.44652,0.077161255,0.418741137
ETH,2018,0,0.10578,0.118761361,0.404985726
ETH,2018,1,0.39756,0.116127119,0.404985726
ETH,2018,2,0.50334,0.074212256,0.404985726
ETH,2018,3,0.48130,0.074212256,0.404985726
ETH,2018,4,0.43282,0.074212256,0.404985726
ETH,2019,0,0.10243,0.114042094,0.391230345
ETH,2019,1,0.38497,0.111512534,0.391230345
ETH,2019,2,0.48740,0.071263256,0.391230345
ETH,2019,3,0.46606,0.071263256,0.391230345
ETH,2019,4,0.41911,0.071263256,0.391230345
ETH,2020,0,0.09908,0.109322832,0.377474934
ETH,2020,1,0.37238,0.106897949,0.377474934
ETH,2020,2,0.47146,0.068314257,0.377474934
ETH,2020,3,0.45082,0.068314257,0.377474934
ETH,2020,4,0.40541,0.068314257,0.377474934
ETH,2021,0,0.09573,0.10460357,0.363719523
ETH,2021,1,0.35979,0.102283363,0.363719523
ETH,2021,2,0.45552,0.065365257,0.363719523
ETH,2021,3,0.43558,0.065365257,0.363719523
ETH,2021,4,0.39170,0.065365257,0.363719523
ETH,2022,0,0.09238,0.099884308,0.349964112
ETH,2022,1,0.34720,0.097668778,0.349964112
ETH,2022,2,0.43959,0.062416258,0.349964112
ETH,2022,3,0.42034,0.062416258,0.349964112
ETH,2022,4,0.37800,0.062416258,0.349964112
ETH,2023,0,0.08903,0.095165043,0.336208701
ETH,2023,1,0.33462,0.093054193,0.336208701
ETH,2023,2,0.42365,0.059467259,0.336208701
ETH,2023,3,0.40510,0.059467259,0.336208701
ETH,2023,4,0.36429,0.059467259,0.336208701
ETH,2024,0,0.08568,0.090445781,0.32245329
ETH,2024,1,0.32203,0.088439608,0.32245329
ETH,2024,2,0.40771,0.056518259,0.32245329
ETH,2024,3,0.38986,0.056518259,0.32245329
ETH,2024,4,0.35059,0.056518259,0.32245329
