Country,start_year,start_age,current_age,gender,mortality 
ETH,2015,0,0,female,0.037412226
ETH,2015,0,0,male,0.04807093
ETH,2016,0,1,female,0.0048884
ETH,2016,0,1,male,0.0051038
ETH,2017,0,2,female,0.0045893
ETH,2017,0,2,male,0.004792
ETH,2018,0,3,female,0.0043084
ETH,2018,0,3,male,0.0044993
ETH,2019,0,4,female,0.0040448
ETH,2019,0,4,male,0.0042244
ETH,2020,0,5,female,0.0017945
ETH,2020,0,5,male,0.0024855
ETH,2021,0,6,female,0.0017058
ETH,2021,0,6,male,0.002386
ETH,2022,0,7,female,0.0016214
ETH,2022,0,7,male,0.0022904
ETH,2023,0,8,female,0.0015412
ETH,2023,0,8,male,0.0021986
ETH,2024,0,9,female,0.001465
ETH,2024,0,9,male,0.0021106
ETH,2025,0,10,female,0.0010047
ETH,2025,0,10,male,0.0013065
ETH,2026,0,11,female,0.0009628
ETH,2026,0,11,male,0.0012615
ETH,2027,0,12,female,0.0009226
ETH,2027,0,12,male,0.001218
ETH,2028,0,13,female,0.0008842
ETH,2028,0,13,male,0.001176
ETH,2029,0,14,female,0.0008473
ETH,2029,0,14,male,0.0011355
ETH,2030,0,15,female,0.001072
ETH,2030,0,15,male,0.001786
ETH,2031,0,16,female,0.0010319
ETH,2031,0,16,male,0.0017369
ETH,2032,0,17,female,0.0009933
ETH,2032,0,17,male,0.0016892
ETH,2033,0,18,female,0.0009561
ETH,2033,0,18,male,0.0016428
ETH,2034,0,19,female,0.0009203
ETH,2034,0,19,male,0.0015977
ETH,2035,0,20,female,0.0011873
ETH,2035,0,20,male,0.0021122
ETH,2036,0,21,female,0.0011453
ETH,2036,0,21,male,0.0020505
ETH,2037,0,22,female,0.0011048
ETH,2037,0,22,male,0.0019906
ETH,2038,0,23,female,0.0010657
ETH,2038,0,23,male,0.0019325
ETH,2039,0,24,female,0.001028
ETH,2039,0,24,male,0.0018761
ETH,2040,0,25,female,0.0014617
ETH,2040,0,25,male,0.0019901
ETH,2041,0,26,female,0.0014143
ETH,2041,0,26,male,0.0019317
ETH,2042,0,27,female,0.0013685
ETH,2042,0,27,male,0.0018751
ETH,2043,0,28,female,0.0013242
ETH,2043,0,28,male,0.0018201
ETH,2044,0,29,female,0.0012813
ETH,2044,0,29,male,0.0017667
ETH,2045,0,30,female,0.0019086
ETH,2045,0,30,male,0.0022257
ETH,2046,0,31,female,0.0018558
ETH,2046,0,31,male,0.0021672
ETH,2047,0,32,female,0.0018044
ETH,2047,0,32,male,0.0021103
ETH,2048,0,33,female,0.0017545
ETH,2048,0,33,male,0.0020548
ETH,2049,0,34,female,0.0017059
ETH,2049,0,34,male,0.0020009
ETH,2050,0,35,female,0.0028894
ETH,2050,0,35,male,0.0027889
ETH,2051,0,36,female,0.0028291
ETH,2051,0,36,male,0.0027259
ETH,2052,0,37,female,0.0027701
ETH,2052,0,37,male,0.0026644
ETH,2053,0,38,female,0.0027124
ETH,2053,0,38,male,0.0026042
ETH,2054,0,39,female,0.0026558
ETH,2054,0,39,male,0.0025455
ETH,2055,0,40,female,0.0034608
ETH,2055,0,40,male,0.0032154
ETH,2056,0,41,female,0.0033992
ETH,2056,0,41,male,0.003148
ETH,2057,0,42,female,0.0033387
ETH,2057,0,42,male,0.003082
ETH,2058,0,43,female,0.0032793
ETH,2058,0,43,male,0.0030173
ETH,2059,0,44,female,0.0032209
ETH,2059,0,44,male,0.0029541
ETH,2060,0,45,female,0.0031658
ETH,2060,0,45,male,0.0034079
ETH,2061,0,46,female,0.0031062
ETH,2061,0,46,male,0.0033369
ETH,2062,0,47,female,0.0030478
ETH,2062,0,47,male,0.0032673
ETH,2063,0,48,female,0.0029904
ETH,2063,0,48,male,0.0031993
ETH,2064,0,49,female,0.0029341
ETH,2064,0,49,male,0.0031326
ETH,2065,0,50,female,0.0036975
ETH,2065,0,50,male,0.0046468
ETH,2066,0,51,female,0.0036299
ETH,2066,0,51,male,0.0045614
ETH,2067,0,52,female,0.0035636
ETH,2067,0,52,male,0.0044775
ETH,2068,0,53,female,0.0034985
ETH,2068,0,53,male,0.0043952
ETH,2069,0,54,female,0.0034346
ETH,2069,0,54,male,0.0043144
ETH,2070,0,55,female,0.0037164
ETH,2070,0,55,male,0.0052873
ETH,2071,0,56,female,0.0036407
ETH,2071,0,56,male,0.0051887
ETH,2072,0,57,female,0.0035666
ETH,2072,0,57,male,0.005092
ETH,2073,0,58,female,0.003494
ETH,2073,0,58,male,0.004997
ETH,2074,0,59,female,0.0034229
ETH,2074,0,59,male,0.0049038
ETH,2075,0,60,female,0.0052936
ETH,2075,0,60,male,0.0081241
ETH,2076,0,61,female,0.0051913
ETH,2076,0,61,male,0.0079903
ETH,2077,0,62,female,0.0050911
ETH,2077,0,62,male,0.0078586
ETH,2078,0,63,female,0.0049927
ETH,2078,0,63,male,0.0077291
ETH,2079,0,64,female,0.0048963
ETH,2079,0,64,male,0.0076017
ETH,2080,0,65,female,0.0084316
ETH,2080,0,65,male,0.012646
ETH,2081,0,66,female,0.008282
ETH,2081,0,66,male,0.0124583
ETH,2082,0,67,female,0.0081351
ETH,2082,0,67,male,0.0122732
ETH,2083,0,68,female,0.0079908
ETH,2083,0,68,male,0.012091
ETH,2084,0,69,female,0.0078491
ETH,2084,0,69,male,0.0119114
ETH,2085,0,70,female,0.0143166
ETH,2085,0,70,male,0.0192956
ETH,2086,0,71,female,0.0140885
ETH,2086,0,71,male,0.0190226
ETH,2087,0,72,female,0.013864
ETH,2087,0,72,male,0.0187534
ETH,2088,0,73,female,0.0136431
ETH,2088,0,73,male,0.0184881
ETH,2089,0,74,female,0.0134257
ETH,2089,0,74,male,0.0182265
ETH,2090,0,75,female,0.0260506
ETH,2090,0,75,male,0.032556
ETH,2091,0,76,female,0.0257004
ETH,2091,0,76,male,0.0321506
ETH,2092,0,77,female,0.0253549
ETH,2092,0,77,male,0.0317504
ETH,2093,0,78,female,0.0250141
ETH,2093,0,78,male,0.0313551
ETH,2094,0,79,female,0.0246779
ETH,2094,0,79,male,0.0309647
ETH,2095,0,80,female,0.04881
ETH,2095,0,80,male,0.0543818
ETH,2096,0,81,female,0.0482749
ETH,2096,0,81,male,0.0537813
ETH,2097,0,82,female,0.0477456
ETH,2097,0,82,male,0.0531874
ETH,2098,0,83,female,0.0472222
ETH,2098,0,83,male,0.0526001
ETH,2099,0,84,female,0.0467045
ETH,2099,0,84,male,0.0520193
ETH,2100,0,85,female,0.0876689
ETH,2100,0,85,male,0.0944331
ETH,2101,0,86,female,0.0869122
ETH,2101,0,86,male,0.0935616
ETH,2102,0,87,female,0.0861621
ETH,2102,0,87,male,0.0926981
ETH,2103,0,88,female,0.0854184
ETH,2103,0,88,male,0.0918426
ETH,2104,0,89,female,0.0846812
ETH,2104,0,89,male,0.0909951
ETH,2105,0,90,female,0.1540334
ETH,2105,0,90,male,0.1605134
ETH,2106,0,91,female,0.1530585
ETH,2106,0,91,male,0.1593431
ETH,2107,0,92,female,0.1520898
ETH,2107,0,92,male,0.1581814
ETH,2108,0,93,female,0.1511272
ETH,2108,0,93,male,0.1570281
ETH,2109,0,94,female,0.1501707
ETH,2109,0,94,male,0.1558832
ETH,2110,0,95,female,0.2559822
ETH,2110,0,95,male,0.2602783
ETH,2111,0,96,female,0.2548867
ETH,2111,0,96,male,0.258874
ETH,2112,0,97,female,0.2537958
ETH,2112,0,97,male,0.2574773
ETH,2113,0,98,female,0.2527095
ETH,2113,0,98,male,0.2560881
ETH,2114,0,99,female,0.251628
ETH,2114,0,99,male,0.2547064
ETH,2115,0,100,female,0.4049455
ETH,2115,0,100,male,0.3990539
ETH,2116,0,101,female,1
ETH,2116,0,101,male,1
ETH,2015,1,1,female,0.004539152
ETH,2015,1,1,male,0.00482804
ETH,2016,1,2,female,0.0048884
ETH,2016,1,2,male,0.0051038
ETH,2017,1,3,female,0.0045893
ETH,2017,1,3,male,0.004792
ETH,2018,1,4,female,0.0043084
ETH,2018,1,4,male,0.0044993
ETH,2019,1,5,female,0.0018878
ETH,2019,1,5,male,0.0025892
ETH,2020,1,6,female,0.0017945
ETH,2020,1,6,male,0.0024855
ETH,2021,1,7,female,0.0017058
ETH,2021,1,7,male,0.002386
ETH,2022,1,8,female,0.0016214
ETH,2022,1,8,male,0.0022904
ETH,2023,1,9,female,0.0015412
ETH,2023,1,9,male,0.0021986
ETH,2024,1,10,female,0.0010484
ETH,2024,1,10,male,0.0013532
