country,year,age_years,stunting_prevalence,diarrhea_prevalence,anemia_prevalence
IND,2015,0,0.189531008,0.120334929,0.446251959
IND,2015,1,0.381458386,0.117665791,0.446251959
IND,2015,2,0.405930397,0.075195561,0.446251959
IND,2015,3,0.394311638,0.075195561,0.446251959
IND,2015,4,0.36526474,0.075195561,0.446251959
IND,2016,0,0.182947192,0.118637544,0.432496548
IND,2016,1,0.36820751,0.116006054,0.432496548
IND,2016,2,0.391829427,0.07413489,0.432496548
IND,2016,3,0.380614273,0.07413489,0.432496548
IND,2016,4,0.352576389,0.07413489,0.432496548
IND,2017,0,0.17636332,0.116940164,0.418741137
IND,2017,1,0.354956521,0.114346328,0.418741137
IND,2017,2,0.377728337,0.07307422,0.418741137
IND,2017,3,0.366916792,0.07307422,0.418741137
IND,2017,4,0.339887931,0.07307422,0.418741137
IND,2018,0,0.169779448,0.115242783,0.404985726
IND,2018,1,0.341705532,0.112686592,0.404985726
IND,2018,2,0.363627247,0.07201355,0.404985726
IND,2018,3,0.353219311,0.07201355,0.404985726
IND,2018,4,0.327199472,0.07201355,0.404985726
IND,2019,0,0.163195576,0.113545398,0.391230345
IND,2019,1,0.328454544,0.111026855,0.391230345
IND,2019,2,0.349526157,0.070952879,0.391230345
IND,2019,3,0.33952183,0.070952879,0.391230345
IND,2019,4,0.314511014,0.070952879,0.391230345
IND,2020,0,0.156611704,0.111848018,0.377474934
IND,2020,1,0.315203555,0.109367129,0.377474934
IND,2020,2,0.335425066,0.069892214,0.377474934
IND,2020,3,0.325824349,0.069892214,0.377474934
IND,2020,4,0.301822555,0.069892214,0.377474934
IND,2021,0,0.150027832,0.110150633,0.363719523
IND,2021,1,0.301952567,0.107707393,0.363719523
IND,2021,2,0.321323976,0.068831543,0.363719523
IND,2021,3,0.312126868,0.068831543,0.363719523
IND,2021,4,0.289134097,0.068831543,0.363719523
IND,2022,0,0.143443959,0.108453253,0.349964112
IND,2022,1,0.288701578,0.106047656,0.349964112
IND,2022,2,0.307222886,0.067770873,0.349964112
IND,2022,3,0.298429387,0.067770875,0.349964112
IND,2022,4,0.276445638,0.067770875,0.349964112
IND,2023,0,0.136860087,0.106755867,0.336208701
IND,2023,1,0.275450589,0.10438793,0.336208701
IND,2023,2,0.293121796,0.066710203,0.336208701
IND,2023,3,0.284731906,0.066710203,0.336208701
IND,2023,4,0.26375718,0.066710203,0.336208701
IND,2024,0,0.130276215,0.105058487,0.32245329
IND,2024,1,0.262199601,0.102728194,0.32245329
IND,2024,2,0.279020706,0.065649532,0.32245329
IND,2024,3,0.271034425,0.065649532,0.32245329
IND,2024,4,0.251068721,0.065649532,0.32245329
