country,year,age_years,stunting_prevalence,diarrhea_prevalence,anemia_prevalence
NGA,2015,0,0.205254935,0.197549632,0.694429994
NGA,2015,1,0.351602624,0.193167804,0.694429994
NGA,2015,2,0.420634553,0.123445919,0.694429994
NGA,2015,3,0.393942207,0.123445919,0.694429994
NGA,2015,4,0.343318793,0.123445919,0.694429994
NGA,2016,0,0.200719138,0.19569078,0.689661562
NGA,2016,1,0.343832783,0.191350173,0.689661562
NGA,2016,2,0.411339219,0.122284344,0.689661562
NGA,2016,3,0.385236731,0.122284344,0.689661562
NGA,2016,4,0.335732011,0.122284344,0.689661562
NGA,2017,0,0.19618334,0.193831919,0.684893131
NGA,2017,1,0.336062942,0.189532541,0.684893131
NGA,2017,2,0.402043886,0.121122768,0.684893131
NGA,2017,3,0.376531254,0.121122768,0.684893131
NGA,2017,4,0.328145229,0.121122768,0.684893131
NGA,2018,0,0.191647543,0.191973062,0.6801247
NGA,2018,1,0.328293101,0.18771491,0.6801247
NGA,2018,2,0.392748553,0.119961203,0.6801247
NGA,2018,3,0.367825778,0.119961203,0.6801247
NGA,2018,4,0.320558447,0.119961203,0.6801247
NGA,2019,0,0.187111746,0.190114211,0.675356269
NGA,2019,1,0.32052326,0.185897298,0.675356269
NGA,2019,2,0.383453219,0.118799628,0.675356269
NGA,2019,3,0.359120302,0.118799628,0.675356269
NGA,2019,4,0.312971665,0.118799628,0.675356269
NGA,2020,0,0.182575949,0.188255349,0.670587838
NGA,2020,1,0.312753419,0.184079667,0.670587838
NGA,2020,2,0.374157886,0.117638052,0.670587838
NGA,2020,3,0.350414825,0.117638052,0.670587838
NGA,2020,4,0.305384883,0.117638052,0.670587838
NGA,2021,0,0.178040152,0.186396498,0.665819407
NGA,2021,1,0.304983578,0.182262035,0.665819407
NGA,2021,2,0.364862553,0.116476487,0.665819407
NGA,2021,3,0.341709349,0.116476487,0.665819407
NGA,2021,4,0.297798101,0.116476487,0.665819407
NGA,2022,0,0.173504354,0.184537636,0.661050975
NGA,2022,1,0.297213737,0.180444404,0.661050975
NGA,2022,2,0.355567219,0.115314911,0.661050975
NGA,2022,3,0.333003873,0.115314911,0.661050975
NGA,2022,4,0.290211319,0.115314911,0.661050975
NGA,2023,0,0.168968618,0.182678775,0.656282544
NGA,2023,1,0.289444,0.178626792,0.656282544
NGA,2023,2,0.34627201,0.114153336,0.656282544
NGA,2023,3,0.324298513,0.114153336,0.656282544
NGA,2023,4,0.282624638,0.114153336,0.656282544
NGA,2024,0,0.16443276,0.180819923,0.651514113
NGA,2024,1,0.281674055,0.176809161,0.651514113
NGA,2024,2,0.336976553,0.112991761,0.651514113
NGA,2024,3,0.31559292,0.112991761,0.651514113
NGA,2024,4,0.275037755,0.112991761,0.651514113
