Country,start_year,start_age,current_age,gender,mortality 
NGA,2015,-4,-4,female,0
NGA,2015,-4,-4,male,0
NGA,2016,-4,-3,female,0
NGA,2016,-4,-3,male,0
NGA,2017,-4,-2,female,0
NGA,2017,-4,-2,male,0
NGA,2018,-4,-1,female,0
NGA,2018,-4,-1,male,0
NGA,2019,-4,0,female,0.065774545
NGA,2019,-4,0,male,0.079999842
NGA,2020,-4,1,female,0.010610175
NGA,2020,-4,1,male,0.010545698
NGA,2021,-4,2,female,0.010287207
NGA,2021,-4,2,male,0.01021366
NGA,2022,-4,3,female,0.009974064
NGA,2022,-4,3,male,0.009892082
NGA,2023,-4,4,female,0.009670454
NGA,2023,-4,4,male,0.009580628
NGA,2024,-4,5,female,0.004771386
NGA,2024,-4,5,male,0.004559075
NGA,2025,-4,6,female,0.00469608
NGA,2025,-4,6,male,0.004481494
NGA,2026,-4,7,female,0.004621962
NGA,2026,-4,7,male,0.004405231
NGA,2027,-4,8,female,0.004549014
NGA,2027,-4,8,male,0.004330268
NGA,2028,-4,9,female,0.004477218
NGA,2028,-4,9,male,0.004256581
NGA,2029,-4,10,female,0.002664265
NGA,2029,-4,10,male,0.002446334
NGA,2030,-4,11,female,0.002629958
NGA,2030,-4,11,male,0.002412065
NGA,2031,-4,12,female,0.002596094
NGA,2031,-4,12,male,0.002378274
NGA,2032,-4,13,female,0.002562665
NGA,2032,-4,13,male,0.002344957
NGA,2033,-4,14,female,0.002529667
NGA,2033,-4,14,male,0.002312107
NGA,2034,-4,15,female,0.00292423
NGA,2034,-4,15,male,0.003200174
NGA,2035,-4,16,female,0.002890923
NGA,2035,-4,16,male,0.003166236
NGA,2036,-4,17,female,0.002857996
NGA,2036,-4,17,male,0.003132658
NGA,2037,-4,18,female,0.002825443
NGA,2037,-4,18,male,0.003099436
NGA,2038,-4,19,female,0.002793262
NGA,2038,-4,19,male,0.003066567
NGA,2039,-4,20,female,0.003691951
NGA,2039,-4,20,male,0.00439638
NGA,2040,-4,21,female,0.003657513
NGA,2040,-4,21,male,0.00435029
NGA,2041,-4,22,female,0.003623396
NGA,2041,-4,22,male,0.004304681
NGA,2042,-4,23,female,0.003589597
NGA,2042,-4,23,male,0.004259549
NGA,2043,-4,24,female,0.003556115
NGA,2043,-4,24,male,0.004214891
NGA,2044,-4,25,female,0.005877724
NGA,2044,-4,25,male,0.005315708
NGA,2045,-4,26,female,0.005855707
NGA,2045,-4,26,male,0.005274622
NGA,2046,-4,27,female,0.005833774
NGA,2046,-4,27,male,0.005233857
NGA,2047,-4,28,female,0.005811923
NGA,2047,-4,28,male,0.005193404
NGA,2048,-4,29,female,0.005790153
NGA,2048,-4,29,male,0.005153266
NGA,2049,-4,30,female,0.00897828
NGA,2049,-4,30,male,0.007349776
NGA,2050,-4,31,female,0.008987747
NGA,2050,-4,31,male,0.007325941
NGA,2051,-4,32,female,0.008997228
NGA,2051,-4,32,male,0.00730218
NGA,2052,-4,33,female,0.009006714
NGA,2052,-4,33,male,0.007278499
NGA,2053,-4,34,female,0.009016215
NGA,2053,-4,34,male,0.007254892
NGA,2054,-4,35,female,0.013694141
NGA,2054,-4,35,male,0.011139859
NGA,2055,-4,36,female,0.013769526
NGA,2055,-4,36,male,0.011155194
NGA,2056,-4,37,female,0.013845326
NGA,2056,-4,37,male,0.01117055
NGA,2057,-4,38,female,0.013921544
NGA,2057,-4,38,male,0.011185928
NGA,2058,-4,39,female,0.013998181
NGA,2058,-4,39,male,0.011201332
NGA,2059,-4,40,female,0.013768988
NGA,2059,-4,40,male,0.012234192
NGA,2060,-4,41,female,0.013823775
NGA,2060,-4,41,male,0.012237162
NGA,2061,-4,42,female,0.013878786
NGA,2061,-4,42,male,0.012240127
NGA,2062,-4,43,female,0.01393401
NGA,2062,-4,43,male,0.012243098
NGA,2063,-4,44,female,0.01398946
NGA,2063,-4,44,male,0.012246069
NGA,2064,-4,45,female,0.013023205
NGA,2064,-4,45,male,0.012738422
NGA,2065,-4,46,female,0.013049015
NGA,2065,-4,46,male,0.012719528
NGA,2066,-4,47,female,0.013074881
NGA,2066,-4,47,male,0.012700661
NGA,2067,-4,48,female,0.013100799
NGA,2067,-4,48,male,0.012681822
NGA,2068,-4,49,female,0.013126768
NGA,2068,-4,49,male,0.012663011
NGA,2069,-4,50,female,0.014103047
NGA,2069,-4,50,male,0.014631153
NGA,2070,-4,51,female,0.014101425
NGA,2070,-4,51,male,0.014589597
NGA,2071,-4,52,female,0.014099798
NGA,2071,-4,52,male,0.014548165
NGA,2072,-4,53,female,0.014098179
NGA,2072,-4,53,male,0.01450685
NGA,2073,-4,54,female,0.014096558
NGA,2073,-4,54,male,0.014465647
NGA,2074,-4,55,female,0.016544528
NGA,2074,-4,55,male,0.01736116
NGA,2075,-4,56,female,0.016514735
NGA,2075,-4,56,male,0.017291332
NGA,2076,-4,57,female,0.016484994
NGA,2076,-4,57,male,0.017221777
NGA,2077,-4,58,female,0.016455317
NGA,2077,-4,58,male,0.017152499
NGA,2078,-4,59,female,0.016425682
NGA,2078,-4,59,male,0.017083511
NGA,2079,-4,60,female,0.025844542
NGA,2079,-4,60,male,0.025408488
NGA,2080,-4,61,female,0.025799034
NGA,2080,-4,61,male,0.025309652
NGA,2081,-4,62,female,0.025753606
NGA,2081,-4,62,male,0.025211208
NGA,2082,-4,63,female,0.025708264
NGA,2082,-4,63,male,0.025113145
NGA,2083,-4,64,female,0.025662996
NGA,2083,-4,64,male,0.025015466
NGA,2084,-4,65,female,0.042470135
NGA,2084,-4,65,male,0.039418358
NGA,2085,-4,66,female,0.0424137
NGA,2085,-4,66,male,0.039285403
NGA,2086,-4,67,female,0.042357344
NGA,2086,-4,67,male,0.039152898
NGA,2087,-4,68,female,0.04230107
NGA,2087,-4,68,male,0.039020848
NGA,2088,-4,69,female,0.074976325
NGA,2088,-4,69,male,0.066466346
NGA,2089,-4,70,female,0.074922703
NGA,2089,-4,70,male,0.066283375
NGA,2090,-4,71,female,0.074869134
NGA,2090,-4,71,male,0.06610091
NGA,2091,-4,72,female,0.074815601
NGA,2091,-4,72,male,0.065918945
NGA,2092,-4,73,female,0.074762106
NGA,2092,-4,73,male,0.065737486
NGA,2093,-4,74,female,0.074708633
NGA,2093,-4,74,male,0.065556526
NGA,2094,-4,75,female,0.131381035
NGA,2094,-4,75,male,0.114799522
NGA,2095,-4,76,female,0.13136825
NGA,2095,-4,76,male,0.114570387
NGA,2096,-4,77,female,0.131355435
NGA,2096,-4,77,male,0.114341713
NGA,2097,-4,78,female,0.131342635
NGA,2097,-4,78,male,0.114113487
NGA,2098,-4,79,female,0.13132982
NGA,2098,-4,79,male,0.113885723
NGA,2099,-4,80,female,0.226109132
NGA,2099,-4,80,male,0.196282491
NGA,2100,-4,81,female,0.226188019
NGA,2100,-4,81,male,0.196026668
NGA,2101,-4,82,female,0.226266935
NGA,2101,-4,82,male,0.195771158
NGA,2102,-4,83,female,0.226345867
NGA,2102,-4,83,male,0.19551599
NGA,2103,-4,84,female,0.226424828
NGA,2103,-4,84,male,0.195261151
NGA,2104,-4,85,female,0.337537706
NGA,2104,-4,85,male,0.306118071
NGA,2105,-4,86,female,0.337681234
NGA,2105,-4,86,male,0.305841982
NGA,2106,-4,87,female,0.337824792
NGA,2106,-4,87,male,0.305566162
NGA,2107,-4,88,female,0.337968439
NGA,2107,-4,88,male,0.30529058
NGA,2108,-4,89,female,0.338112146
NGA,2108,-4,89,male,0.305015236
NGA,2109,-4,90,female,0.480136275
NGA,2109,-4,90,male,0.449068099
NGA,2110,-4,91,female,0.480401903
NGA,2110,-4,91,male,0.448800564
NGA,2111,-4,92,female,0.480667651
NGA,2111,-4,92,male,0.448533177
NGA,2112,-4,93,female,0.480933577
NGA,2112,-4,93,male,0.44826597
NGA,2113,-4,94,female,0.481199652
NGA,2113,-4,94,male,0.447998911
